"title","summary","tone_vector"
"The Blind Door","A woman hears knocking from a sealed room in her childhood home as layers of repressed memory leak into her present.","horror,psychological,dark,slow-burn"
"Fragments of Ash","A detective uncovers that a string of arsons mirrors tragedies from the criminal’s childhood.","mystery,thriller,emotional-depth,medium-pace"
"Room 47","A hotel room materializes only at night, revealing fears that soon manifest in the waking world.","horror,supernatural,fast-paced,high-tension"
"The Fifth Caller","A radio show host gets calls predicting crimes before they occur, warping his sense of time.","mystery,psychological,time-bend,medium-pace"
"Where the Sirens Sleep","A diver finds an underwater cave with symbols that haunt her dreams and lure her deeper each night.","dark-fantasy,horror,atmospheric,slow-burn"
"Grey Terminal","A station where mute passengers arrive at midnight and vanish before sunrise.","mystery,horror,abstract,slow-pace"
"Pulse","In a cyberpunk city, emotional uploads go wrong when a hacker injects a wave of fear across the network.","sci-fi,psychological,fast-paced,chaotic"
"The Unfinished Letter","A writer discovers drafts of letters revealing secrets she never consciously wrote.","mystery,emotional-depth,low-tension,slow-pace"
"No Light in Winter","A mountain village hasn't seen sunlight in years, and shadows begin to move independently.","horror,dark,supernatural,steady-pace"
"The Last Passenger","A lone rider wakes up to find an entire train stuck in a shared nightmare.","psychological,horror,fast-paced,high-tension"
"Ashes of the Choir","A ruined church’s choir recordings contain voices of people who were never part of the congregation.","horror,supernatural,atmospheric,slow-burn"
"The Glass Archive","A historian finds mirrored versions of himself in archival footage from decades before he was born.","mystery,psychological,time-bend,medium-pace"
"Hollow River","Bodies pulled from a river show signs of drowning in places with no water.","thriller,dark,investigation,fast-paced"
"Dead Frequency","A radio tower broadcasts a signal that causes listeners to relive forgotten tragedies.","psychological,horror,abstract,medium-pace"
"The Paper House","A girl builds a cardboard house that expands into a labyrinth mirroring her family conflicts.","dark-fantasy,emotional-depth,symbolic,slow-pace"
"Static Rain","Rainfall carries thoughts from strangers, driving a town slowly insane.","sci-fi,horror,psychological,steady-pace"
"The Lost Draft","A novelist's deleted chapters reappear rewritten with details from future events.","mystery,time-bend,psychological,medium-pace"
"Before the Echo","A scientist hears echoes of conversations that haven’t happened yet.","sci-fi,mystery,slow-burn,psychological"
"The Night Archivist","A librarian catalogs books that only appear after midnight, each containing stories of people still alive.","dark-fantasy,mystery,supernatural,slow-burn"
"Brightfall","A city where everyone sees a different version of daylight struggles to agree on reality.","sci-fi,abstract,psychological,medium-pace"
"The Weight of Dust","Dust storms reveal outlines of invisible creatures moving through abandoned towns.","horror,atmospheric,slow-burn,dark"
"Copper Veins","Miners uncover tunnels that lead to a parallel version of their own town.","mystery,dark-fantasy,medium-pace,time-bend"
"The Red Filing Cabinet","Files inside a cabinet predict people’s last thoughts moments before they die.","psychological,dark,mystery,slow-pace"
"Silent Orchard","A farm's orchard stops producing apples but begins growing memories instead.","dark-fantasy,symbolic,emotional-depth,slow-burn"
"Clockless","A town where clocks freeze unpredictably battles with time dilation events.","sci-fi,time-bend,medium-pace,abstract"
"The Grey Choir","Children sing a melody that induces shared hallucinations in listeners.","horror,psychological,supernatural,steady-pace"
"Dark Below","Earthquakes open a massive underground chamber filled with ancient bones and living shadows.","horror,dark,fast-paced,supernatural"
"Neon Liar","A con artist in a neon-lit dystopia discovers he can rewrite memories he describes.","sci-fi,psychological,fast-paced,chaotic"
"The Room with Two Clocks","A room has two clocks — one that shows real time, and one that shows the moment you'll die.","psychological,horror,slow-burn,dark"
"Hush Harbor","A silent lake mimics sounds from the deepest thoughts of anyone nearby.","psychological,atmospheric,dark,slow-pace"
"Iron Pulse","A rogue AI city grid starts generating emotional storms that affect citizens physically.","sci-fi,chaotic,fast-paced,psychological"
"Letters from the Other Shore","People receive letters from relatives who are alive in an alternate timeline.","mystery,time-bend,emotional-depth,medium-pace"
"The Mirror Orchard","Fruit in a strange orchard shows visions of alternate versions of yourself.","dark-fantasy,psychological,abstract,slow-burn"
"Black Lantern Bridge","A bridge appears only during solar eclipses, leading to a shadow version of the city.","horror,supernatural,dark,medium-pace"
"City of Borrowed Voices","A thief steals people's voices and sells them on the black market, causing emotional collapse.","dark-fantasy,psychological,symbolic,slow-pace"
"Static Valley","A valley where electronic devices show footage from the future indicates an upcoming disaster.","sci-fi,mystery,tense,medium-pace"
"The Lantern Girl","A girl carrying a lantern only visible to the dead helps spirits resolve their past regrets.","supernatural,emotional-depth,slow-burn,dark-fantasy"
"White Noise Alley","An alley emits white noise strong enough to erase specific memories.","psychological,abstract,dark,slow-pace"
"Blue Ash Stairway","A staircase in an abandoned building descends into memories people have tried to bury.","psychological,symbolic,dark,slow-burn"
"The Cursed Broadcast","A pirate TV channel broadcasts an unknown show that predicts violent crimes.","thriller,mystery,fast-paced,dark"
"The Violet Corridor","A corridor appears in homes during grief, offering a chance to rewrite a single moment.","emotional-depth,dark-fantasy,slow-burn,psychological"
"Iron Sleep","A medication designed to enhance dreams instead traps users in shared nightmares.","psychological,horror,slow-burn,supernatural"
"Fire Without Heat","A village’s fires burn cold, causing people to lose warmth and emotion simultaneously.","symbolic,dark-fantasy,slow-pace,emotional-depth"
"The Shoreline Pact","Every generation signs a pact with a sea entity to prevent catastrophic tides.","dark-fantasy,mystery,slow-burn,supernatural"
"Nightfall Registry","People record their nightmares in a registry, but new entries start appearing without authors.","psychological,mystery,dark,steady-pace"
"Echoes of the Hollow","A cave repeats people’s voices with new, unsettling information about their future.","horror,time-bend,supernatural,medium-pace"
"The Last Signal","A dying star emits a message decoded as a warning from an extinct civilization.","sci-fi,mystery,slow-burn,abstract"
"Deadly Parallax","Two detectives in parallel realities investigate the same murder and begin influencing each other's world.","mystery,time-bend,thriller,fast-paced"
"The Harvest of Shadows","Once a year, shadows detach from their owners and roam freely, carrying hidden secrets.","horror,dark-fantasy,supernatural,steady-pace"
"City of Fading Names","People's names begin disappearing from signs, documents, and memories as identity collapses.","psychological,abstract,dark,slow-burn"